hobby,count
탄천 산책로 걷기,28
인디 밴드 음악 감상,28
동네 미용실 수다,27
팟캐스트 청취,27
시사 팟캐스트 청취,26
코인 노래방 최신곡 부르기,26
민물 낚시,26
TV 예능 프로그램 시청,26
동네 대중사우나 이용,26
동네 목욕탕 가기,26
동네 일식집 맛집 탐방,26
TV 건강 프로그램 시청,26
지역 유명 빵집 투어,25
프리미어리그 경기 시청,25
남한산성 둘레길 산책,25
유튜브 낚시 채널 시청,25
전국 역사 유적지 탐방,25
클래식 음악 감상,25
나물 비빔밥 맛집 탐방,25
나훈아 노래 감상,24
반려견 산책,24
수락산 둘레길 산책,24
K리그 경기 시청,24
리그 오브 레전드 랭크 게임,24
배드민턴,23
동네 공원 산책,23
거실 소파에서 낮잠 자기,23
가족과 함께하는 자연 풍경 여행,23
스마트폰 퍼즐 게임,23
라디오 프로그램 청취,23
동네 사우나 반신욕,22
국내 역사 유적지 답사,22
KBO 프로야구 시청,22
중랑천 산책로 걷기,22
코인 노래방 발라드 부르기,22
동네 베이커리 투어,21
주말 오후의 깊은 낮잠,21
동네 단골 사우나 이용,21
안양천 산책로 걷기,21
홈케어 피부 관리,21
동네 당구장 정기 모임,21
동네 목욕탕 방문,21
가족과 함께하는 숲길 산책,21
임영웅 노래 감상 및 따라 부르기,21
일식 맛집 탐방,20
서울 시티투어 버스 여행,20
가족과 함께하는 국내 자연 경관 여행,20
베란다 가드닝,20
유튜브 건강 정보 영상 시청,20
동네 사우나에서 휴식,20
베란다 홈 가드닝,20
KBO 프로야구 경기 시청,20
잔잔한 인디 음악 감상,20
스팀 인디 게임 플레이,20
텃밭 채소 가꾸기,20
동네 사우나에서 즐기는 반신욕과 휴식,19
건강 정보 유튜브 시청,19
독립 영화 관람,19
넷플릭스 최신 시리즈 정주행,19
오픈월드 RPG 게임,19
유튜브 여행 브이로그 시청,19
반려견 산책 및 관리,19
수제 버거 맛집 탐방,19
강원도 숲길 트레킹,18
새벽 수영,18
동네 공원 야간 산책,18
동네 분식집 탐방,18
가족과 함께하는 역사 유적지 탐방,18
TV 뉴스 시청,18
프로야구 경기 관람,18
오후 낮잠,17
유튜브 IT 기기 리뷰 시청,17
가족과 함께하는 근교 자연 경관 여행,17
종교 활동을 통한 마음 다스리기,17
TV 뉴스 및 시사 프로그램 시청,17
네이버 블로그 일상 기록,17
동네 일식집 탐방,17
국립중앙박물관 전시 관람,17
가족과 함께하는 근교 자연 여행,17
동네 지인들과의 전화 수다,17
자연 다큐멘터리 시청,16
라디오 및 팟캐스트 청취,16
일식 전문점 탐방,16
TV 일일 드라마 시청,16
유튜브 인테리어 브이로그 시청,16
순천만 국가정원 산책,16
남산 둘레길 산책,16
베란다 다육식물 가꾸기,16
동네 친구들과의 정기적인 수다 모임,16
시티투어 버스 여행,16
마당 텃밭 가꾸기,16
일산 호수공원 산책,16
유튜브 낚시 영상 시청,16
유튜브 스포츠 하이라이트 시청,16
자연 풍경 사진 찍기,16
동네 사우나에서 피로 풀기,16
수리산 둘레길 산책,16
LCK e스포츠 경기 시청,15
팔공산 둘레길 산책,15
동네 헬스장 웨이트 트레이닝,15
풍경 사진 촬영,15
경주,15
가족과 함께하는 자연 풍경 감상,15
트로트 가수 임영웅 노래 감상,15
동네 친구들과의 소주 모임,15
가족과 함께하는 자연 풍경 출사,15
유튜브 알고리즘 영상 시청,15
아차산 둘레길 산책,15
임영웅 노래 모아 듣기,15
헬스장 근력 운동,15
베란다 원예,15
유튜브 건강 정보 채널 시청,15
종이 신문 읽기,15
경제 및 시사 팟캐스트 청취,15
임영웅 유튜브 영상 시청,15
가족과 함께하는 근교 수목원 나들이,15
경주 역사 유적지 탐방,15
TV 역사 다큐멘터리 시청,14
인천대공원 숲길 산책,14
동네 친구들과의 수다 모임,14
유튜브 쇼츠 시청,14
텃밭 가꾸기,14
오후의 짧은 낮잠과 휴식,14
최신 영화 관람,14
TV 스포츠 중계 시청,14
시티팝 음악 감상,14
친구들과의 소규모 술자리,14
전국 노포 음식점 탐방,14
코인 노래방에서 트로트 부르기,14
시흥 갯골생태공원 산책,14
도봉산 둘레길 산책,14
KBS 라디오 청취,14
반려견과 동네 산책,14
서울식물원 산책,14
동네 친구들과의 막걸리 모임,14
역사 소설 탐독,14
TV 자연 다큐멘터리 시청,14
가평 숲길 산책,14
동네 친구들과의 술자리,13
가족과 함께하는 지역 맛집 탐방,13
유튜브 건강 채널 시청,13
송도 센트럴파크 산책,13
유튜브 먹방 시청,13
동네 사우나에서의 친목 도모,13
라디오 팟캐스트 청취,13
시사 및 경제 팟캐스트 청취,13
스크린 골프,13
가족 동반 온천 여행,13
경주 및 부여 역사 유적지 답사,13
피부 관리 및 네일 아트,13
가족과 함께하는 테마파크 나들이,13
소금빵 맛집 탐방,13
유튜브 건축 다큐멘터리 시청,13
가족 동반 자연 경관 여행,13
금정산 둘레길 산책,13
유튜브 맛집 탐방 영상 시청,13
동네 주민들과의 배드민턴 경기,13
유튜브 먹방 영상 시청,13
광교 호수공원 산책,13
유튜브 알고리즘 탐색,13
유튜브 역사 채널 시청,13
동네 사우나 온탕 입욕,13
유튜브 알고리즘 기반 영상 시청,13
베란다 상추와 고추 가꾸기,13
콘솔 게임 플레이,13
손주들과의 영상 통화,13
제철 나물 요리 만들기,13
동네 대중목욕탕 사우나,13
동네 분식집 투어,13
전국 유명 베이커리 투어,13
전국 역사 유적지 답사 여행,13
역사 유적지 답사,12
일식 오마카세 탐방,12
팔공산 숲길 산책,12
코인 노래방에서 최신곡 부르기,12
서해안 바다 낚시,12
웹소설 읽기,12
가족과 함께하는 외식,12
유튜브 트로트 메들리 감상,12
시티팝 및 인디 음악 감상,12
가족과 함께하는 숲캉스 여행,12
동네 목욕탕에서 즐기는 반신욕,12
콘솔 게임,12
유튜브 건강 관리 영상 시청,12
인디 음악 감상,12
넷플릭스 최신 드라마 정주행,12
롯데 자이언츠 야구 경기 관람,12
낮잠을 통한 체력 회복,12
일식 돈카츠 맛집 탐방,12
유튜브 자연 풍경 영상 시청,12
정갈한 일식집 탐방,12
전국 나물 정식 맛집 탐방,12
오후 시간의 짧은 낮잠,12
보드게임 카페 방문,12
역사 다큐멘터리 시청,12
종이 신문 정독,12
라디오 사연 청취,11
동네 친구들과의 소규모 술자리,11
유튜브 건강 식단 영상 시청,11
전략 보드게임 모임,11
동네 코인 노래방 방문,11
동네 헬스장 유산소 운동,11
동네 베이커리 카페 투어,11
성당 공동체 활동,11
인디 음악 플레이리스트 수집,11
국립중앙박물관 특별전 관람,11
오후의 깊은 낮잠,11
넷플릭스 최신 영화 감상,11
친구들과의 막걸리 모임,11
TV 드라마 시청,11
롯데 자이언츠 경기 시청,11
반려견과 함께하는 낮잠,11
동네 대중목욕탕 이용,11
집 근처 산책로 걷기,11
가족과 함께하는 근교 드라이브,11
동네 미용실 방문 및 수다,11
일상 기록 블로그 운영,11
지역 한식당 맛집 탐방,11
낮잠으로 에너지 충전,11
동네 공원 밤산책,11
유튜브 역사 콘텐츠 시청,11
필름 카메라 출사,11
유튜브 트로트 무대 영상 시청,11
동네 사우나 및 찜질방 방문,11
LCK e스포츠 경기 관람,11
친구들과의 코인 노래방 방문,11
동네 지인들과의 술자리,11
가족과 함께하는 근교 나들이,11
시티팝 감상,11
동네 단골 일식집 방문,11
동네 사우나 온탕욕,11
소래습지생태공원 산책,11
퍼스널 컬러 기반 메이크업 연구,10
광교산 숲길 산책,10
일본식 가정식 맛집 탐방,10
주민센터 배드민턴,10
독립영화 관람,10
김광석 노래 감상,10
금오산 둘레길 산책,10
유튜브 뷰티 채널 시청,10
동네 지인들과의 소규모 술자리,10
베란다 채소 가꾸기,10
KBS 제2라디오 청취,10
부천 중앙공원 산책,10
인테리어 소품 수집,10
네일 아트 및 피부 관리,10
경제 관련 팟캐스트 청취,10
베란다 정원 가꾸기,10
월광수변공원 산책,10
동네 목욕탕에서 반신욕 하기,10
친구들과의 전화 수다,10
TV 다큐멘터리 시청,10
6시 내고향 시청,10
석촌호수 산책,10
동네 목욕탕 및 사우나 방문,10
독립영화 및 예술영화 관람,10
가족과 함께하는 서울 시티투어 버스 여행,10
동네 기원에서의 바둑 대국,10
동네 지인들과의 정기적인 친목 모임,10
동네 빵집 탐방,10
수영장 자유 수영,10
배드민턴 클럽 활동,10
금정산 등산,10
동네 당구장 내기 게임,10
코인 노래방 트로트 부르기,10
가족과 함께하는 서울 시티투어,10
정갈한 일식당 탐방,10
동네 중식당 맛집 탐방,10
전략 시뮬레이션 모바일 게임,10
일식 전문점 맛집 탐방,10
소액 로또 구매,10
가족 동반 성지순례 여행,10
동네 사우나 찜질,10
다대포 해변 산책,10
동네 대중목욕탕 가기,10
동탄 호수공원 산책,10
전국 유명 맛집 탐방,10
바버샵 그루밍,10
동네 지인들과의 정기적인 수다 모임,10
광교산 둘레길 산책,10
베란다 상추와 방울토마토 키우기,10
동네 친구들과의 소주 한잔,10
주말 골프 라운딩,10
동네 사우나에서 반신욕 하며 휴식하기,10
일식당 맛집 탐방,10
UFC 및 격투기 경기 시청,10
트로트 노래방 가창,10
지역 유명 베이커리 투어,10
동네 헬스장 근력 운동,10
당구,10
베란다 식물 가꾸기,10
헬스장 유산소 운동,10
정갈한 일식 맛집 탐방,10
독립 영화 및 예술 영화 관람,10
동네 빵집 소금빵 투어,10
동네 친구들과의 배드민턴 경기,9
코인 노래방에서 최신 곡 부르기,9
KBS 제1라디오 청취,9
친구들과의 수다 모임,9
지역 맛집 탐방,9
동네 친구들과의 사우나 방문,9
동네 사우나 가기,9
동네 배드민턴 소모임,9
낮잠으로 기력 회복하기,9
반려견과 동네 산책하기,9
해외 축구 경기 시청,9
전국 수목원 및 자연 경관 탐방,9
역사 소설 읽기,9
프로야구 중계 시청,9
가족과 함께하는 수목원 나들이,9
지역 복지관 무료 급식 봉사,9
지역 복지관 배식 봉사,9
베란다 상추와 고추 키우기,9
유튜브 낚시 및 캠핑 영상 시청,9
지역 볼링 동호회 활동,9
역사 유적지 탐방,9
성당 공동체 봉사 활동,9
마당 수국 가꾸기,9
지역 중식당 맛집 탐방,9
일식 오마카세 맛집 탐방,9
KBS 쿨FM 라디오 청취,9
낙동강변 산책로 걷기,9
동네 목욕탕에서 즐기는 온탕욕,9
롯데 자이언츠 야구 경기 시청,9
동네 일식당 맛집 탐방,9
트로트 노래 부르기,9
제주 해안도로 드라이브,9
전국 노포 맛집 지도 만들기,9
가족과 함께하는 시티투어,9
동네 기원 바둑 대국,9
동네 당구장에서의 3쿠션 경기,9
동네 야외 코트 농구,9
베란다 다육이 가꾸기,9
유튜브 트로트 감상,9
은파호수공원 산책,9
친구들과의 술자리,9
가족과 함께하는 근교 휴양지 여행,9
가평 및 양평 숲길 산책,9
삼성 라이온즈 야구 경기 시청,9
가족과 함께하는 시티투어 버스 여행,9
TV 가요 프로그램 시청,9
친구들과의 삼겹살 외식,9
동네 단골 사우나에서 반신욕 하기,9
성수동 빵집 투어,9
유튜브 숏폼 영상 시청,9
가평 저수지 민물낚시,9
유튜브 테크 리뷰 시청,8
동네 사우나 온탕 휴식,8
동네 고깃집 맛집 탐방,8
코인 노래방에서 발라드 부르기,8
정갈한 일식 전문점 탐방,8
코인 노래방,8
건강 관련 유튜브 영상 시청,8
배달 앱 신메뉴 탐방,8
동네 단골 사우나에서 휴식,8
종교 활동,8
유튜브 건축 및 인테리어 영상 시청,8
남해안 해안도로 드라이브,8
기장 해안도로 드라이브,8
삼락생태공원 산책,8
제철 나물 정식 맛집 탐방,8
삼성 라이온즈 야구 경기 관람,8
지인들과의 전화 수다,8
90년대 가요 감상,8
루미큐브 및 보드게임,8
스마트폰 풍경 사진 찍기,8
주말 낮잠,8
영남알프스 둘레길 산책,8
최신 웹툰 정주행,8
000피스 풍경 퍼즐 맞추기,8
유튜브 예능 콘텐츠 시청,8
강화도 해안도로 드라이브,8
코인 노래방에서 옛 노래 부르기,8
최신 한국 영화 관람,8
배달 앱 맛집 탐방,8
치악산 둘레길 산책,8
안산 호수공원 산책,8
90년대 가요 노래방 부르기,8
전국 돼지갈비 맛집 탐방,8
동네 지인들과의 정기적인 사우나 모임,8
동네 주민센터 배드민턴 동호회 활동,8
네이버 웹툰 최신 회차 정주행,8
동네 친구들과의 소주 한 잔,8
독립 영화 감상,8
유튜브 요리 채널 시청,8
일식 초밥 맛집 탐방,8
지역 일식 전문점 탐방,8
안산 자락길 산책,8
가족과 함께하는 전국 자연 경관 여행,8
고중량 웨이트 트레이닝,8
남양주 물의 정원 산책,8
동네 목욕탕 온탕에서 휴식하기,8
동네 일식집 초밥 투어,8
제철 나물 요리,8
동네 산책,8
90년대 가요 플레이리스트 감상,8
동네 배드민턴 모임,8
석촌호수 야간 산책,8
피부 관리 및 홈케어,8
사려니숲길 산책,8
오후의 짧은 낮잠과 명상,8
가족과 함께하는 주말 외식,8
유튜브 자연 다큐멘터리 시청,8
동네 목욕탕 단골 모임,8
전국 유명 한식 맛집 탐방,8
동네 사우나에서 찜질하며 휴식하기,8
넷플릭스 자연 다큐멘터리 시청,8
천연 발효종 빵집 투어,8
헬스장 기구 운동,8
고난도 퍼즐 맞추기,8
고전 영화 다시 보기,8
주민센터 배드민턴 교실,8
유튜브를 통한 최신 전자기기 리뷰 시청,8
동네 분식집 메뉴 탐방,8
동네 목욕탕 온탕욕,8
부산 시민공원 산책,8
교회 소모임 활동,8
지역 배드민턴 동호회 정기 경기 참여,8
인테리어 잡지 스크랩,8
동네 사우나에서 낮잠 자기,8
국립아시아문화전당 전시 관람,8
계양산 둘레길 산책,8
1000피스 풍경 퍼즐 맞추기,8
지역 신문 읽기,8
정갈한 일식 오마카세 탐방,8
LG 트윈스 야구 경기 시청,8
한화 이글스 야구 경기 시청,8
남한산성 숲길 산책,8
오후의 낮잠,8
동네 친구들과의 노래방 방문,7
미사경정공원 산책,7
광교 호수공원 야간 산책,7
퍼스널 컬러 기반 메이크업,7
조용필 노래 감상,7
심야 라디오 및 팟캐스트 청취,7
서울식물원 숲길 산책,7
성수동 팝업 스토어 탐방,7
아라뱃길 산책,7
단골 미용실 방문 및 수다,7
동네 중국집 맛집 탐방,7
이기대 해안산책로 걷기,7
굴포천 산책로 걷기,7
가족과 함께하는 에버랜드 나들이,7
유튜브 트로트 공연 시청,7
넷플릭스 범죄 다큐멘터리 정주행,7
국내 역사 유적지 답사 여행,7
코인 노래방 가기,7
주말 낮잠 자기,7
오후 시간의 깊은 낮잠,7
반려견 산책시키기,7
제철 식재료를 활용한 요리,7
고강도 웨이트 트레이닝,7
라디오 사연 듣기,7
감악산 둘레길 산책,7
롯데 자이언츠 경기 관람,7
동네 사우나 및 목욕,7
다산생태공원 산책,7
동네 대중목욕탕 사우나 이용,7
동네 베이커리 빵지순례,7
지역 배드민턴 동호회 정기 모임,7
프로야구 TV 중계 시청,7
넷플릭스 영화 감상,7
주말 가족 외식 메뉴 선정,7
일산 호수공원 야간 산책,7
순두부찌개 맛집 탐방,7
보라매공원 산책,7
단골 사우나 방문,7
UFC 및 복싱 경기 시청,7
가족과 함께하는 근교 숲길 산책,7
가족과 함께하는 성지순례,7
트로트 노래방,7
기원에서의 바둑 대국,7
유튜브 트로트 메들리 시청,7
에버랜드 및 롯데월드 방문,7
천연 발효빵 맛집 탐방,7
가죽 공예 소품 제작,7
유튜브 캠핑 장비 리뷰 시청,7
동네 친구들과의 카페 수다,7
모바일 시뮬레이션 게임,7
동네 사우나에서 지인들과 담소 나누기,7
라디오 음악 프로그램 청취,7
청국장과 나물 위주의 한식 식사,7
낙동강변 산책,7
임영웅 노래 감상 및 영상 시청,7
동네 미용실 방문,7
동네 목욕탕 단골 방문,7
동네 일식 돈카츠 맛집 탐방,7
K리그 경기 직관,7
갑천변 야간 산책,7
동네 지인들과의 막걸리 모임,7
UFC 경기 시청,7
나물 비빔밥과 청국장 맛집 탐방,7
인테리어 소품 쇼핑,7
"\"TV 프로그램 6시 내고향 시청\"",7
가족과 함께하는 일식 외식,7
전국 노포 및 지역 맛집 탐방,7
동네 친구들과의 정기적인 사우나 방문,7
TV 건강 프로그램 시청 및 정보 수집,7
오후의 짧고 깊은 낮잠,7
전략 시뮬레이션 PC 게임,7
가족과 함께하는 동네 산책,7
무심천 산책로 걷기,7
평창 숲길 트레킹,7
지역 복지관 정기 봉사활동,7
유튜브 가전제품 리뷰 시청,7
유튜브 영상 에세이 시청,7
90년대 가요 노래방,7
동네 사우나 정기 모임,7
동네 빵집 단팥빵 투어,7
모바일 수집형 게임,7
일본 만화 정주행,7
볼링,7
친구들과의 정기적인 수다 모임,7
베란다 채소 텃밭 가꾸기,7
팔공산 산책로 걷기,7
보드게임 스플렌더,7
갯골생태공원 산책,7
나훈아 노래 부르기,7
지역 신문 탐독,7
전략 보드게임 모임 참여,7
동네 분식집 떡볶이 맛집 탐방,7
대부도 바다 낚시,7
한화 이글스 야구 경기 관람,7
지역 유명 빵집 탐방,7
반려견과 함께하는 동네 한 바퀴,7
동네 단골 사우나에서 즐기는 반신욕,7
한밭수목원 산책,7
가죽 공예 소품 만들기,7
동네 사우나에서 즐기는 휴식,7
전국 유명 노포 맛집 탐방,7
지역 농구 동호회 활동,7
인문학 서적 탐독,6
동네 파스타 맛집 탐방,6
동네 목욕탕 온탕 휴식,6
유튜브 예능 시청,6
주민센터 배드민턴 교실 참여,6
동네 친구들과의 정기적인 친목 모임,6
지역 갤러리 전시 관람,6
유튜브 요리 채널 시청 및 실습,6
아이유 노래 감상,6
중식당 외식,6
주말 드라마 정주행,6
제철 나물을 활용한 한식 요리,6
동네 분식집 떡볶이와 김밥 먹기,6
수제버거 맛집 탐방,6
경의선 숲길 산책,6
일본식 돈카츠 맛집 탐방,6
전국 성지순례 여행,6
코인 노래방에서 90년대 발라드 부르기,6
유튜브 알고리즘 기반의 영상 시청,6
동네 중식당 짬뽕 맛집 탐방,6
가족과 함께하는 코인 노래방 방문,6
트로트 가수의 공연 영상 시청,6
낮잠으로 기력 보충하기,6
동네 공원 배드민턴,6
유튜브 테크 채널 시청,6
건축 디자인 영상 시청,6
서해안 바다낚시,6
가족 동반 온천 및 스파 여행,6
소극장 연극 관람,6
동네 사우나에서 즐기는 온탕 목욕,6
닌텐도 스위치 모동숲 플레이,6
전국 빵집 투어,6
유튜브 예능 영상 시청,6
지역별 노포 맛집 탐방,6
주말 오후의 긴 낮잠,6
전국 유명 수목원 및 자연 경관 탐방,6
북한산 둘레길 걷기,6
지리산 둘레길 산책,6
젤 네일 아트,6
지역 축제 구경,6
베란다 상추 키우기,6
유튜브 쇼츠 영상 시청,6
부산시립미술관 전시 관람,6
인왕산 둘레길 산책,6
범죄 다큐멘터리 시청,6
지역 미술관 전시 관람,6
동네 사우나에서 찜질하기,6
유튜브 스포츠 분석 영상 시청,6
전국 유명 빵집 탐방,6
온천천 시민공원 산책,6
재즈 음악 감상,6
중식당 맛집 탐방,6
홈 가드닝,6
대청호 민물낚시,6
동네 사우나 정기 방문 및 친목 도모,6
겨울 시즌 스노보딩,6
금오산 산책로 걷기,6
동네 미용실에서 머리 손질하기,6
닌텐도 스위치 힐링 게임,6
넷플릭스 범죄 스릴러 시청,6
전략 보드게임 플레이,6
거실 소파에서 즐기는 낮잠,6
가족과 함께하는 성지순례 여행,6
바다 낚시,6
동네 대중목욕탕 방문,6
거실 소파에서의 낮잠과 TV 시청,6
7080 가요 감상,6
동네 골목 산책,6
오후 낮잠 자기,6
분식집 맛집 탐방,6
고화질 자연 다큐멘터리 시청,6
구민 체육센터 배드민턴,6
낮잠으로 에너지 충전하기,6
여의도 한강공원 산책,6
민물낚시,6
동네 친구들과의 사우나 모임,6
종이 신문 탐독,6
넷플릭스 드라마 시청,6
제철 식재료를 활용한 한식 요리,6
성시경 노래 감상,6
지역 사회 복지관 봉사활동,6
웹툰 및 만화책 정주행,6
가족과 함께하는 국내 온천 여행,6
NC 다이노스 야구 경기 시청,6
지인들과의 소규모 술자리,6
임진각 평화누리 공원 산책,6
집 근처 공원 산책,6
지역 문화 축제 방문,6
경주 및 부여 역사 탐방,6
KBO 리그 경기 시청,6
유튜브 음악 플레이리스트 수집,6
네이버 웹툰 감상,6
유튜브 클래식 음악 감상,6
KBS 라디오 프로그램 청취,6
유튜브 인테리어 및 정리 팁 시청,6
동네 유명 베이커리 투어,6
갑천변 산책,6
건강 관리 관련 유튜브 영상 시청,6
동네 체육센터 배드민턴,6
동네 숲길 산책,6
다이어리 꾸미기,6
가족과 함께하는 국내 역사 유적지 탐방,6
부산 시티투어 버스 여행,6
최신 가요 노래방 부르기,6
경주와 부여 역사 유적지 탐방,6
지역 라디오 프로그램 청취,6
동네 고깃집 외식,6
동네 사우나에서 이웃과 담소 나누기,6
성수동 테마 카페 투어,6
유튜브 피부 관리 영상 시청,6
동네 목욕탕 정기 방문,6
마을 회관 배드민턴,6
수안보 온천 여행,6
전자기기 리뷰 영상 시청,6
유튜브 쇼츠 및 릴스 시청,6
동네 사우나 방문 및 휴식,6
평택호 주변 산책,6
동네 맛집 탐방,6
잔나비 음악 감상,6
인테리어 브이로그 시청,6
강화도 바다 낚시,6
동네 친구들과의 수다 타임,6
지역 돼지갈비 맛집 탐방,6
유튜브 인테리어 채널 시청,6
동네 지인들과의 소주 모임,6
000피스 퍼즐 맞추기,6
모바일 캐주얼 게임,6
친구들과의 온천 여행,6
단골 주점에서의 친목 도모,6
임영웅 노래 감상 및 TV 시청,6
가족 동반 성지순례,6
동네 지인들과의 수다 모임,6
유튜브 요리 채널 시청 및 따라 하기,6
남한산성 둘레길 등산,6
동네 사우나 및 찜질방 휴식,6
주말 오후 낮잠,6
전국 노포 음식 탐방,6
베란다 화분 가꾸기,6
전국 지역별 노포 맛집 탐방,6
정갈한 일식 초밥 맛집 탐방,6
건축 다큐멘터리 시청,6
북한산 등산,6
7080 포크송 감상,6
동네 사우나에서 땀 빼기,6
가족과 함께하는 삼겹살 외식,6
주짓수 스파링,6
경주나 부여 같은 역사 유적지 탐방,6
TV 연속극 시청,6
유튜브 홈스타일링 영상 시청,6
라디오 트로트 음악 감상,6
지역 신문 및 잡지 탐독,6
프리미어리그 중계 시청,5
가족과 함께하는 배드민턴,5
건축 및 인테리어 영상 시청,5
동네 친구들과의 코인 노래방 방문,5
친구들과의 끝없는 수다,5
일일 드라마 시청,5
인테리어 관련 유튜브 영상 시청,5
동네 일식집에서 초밥 먹기,5
TV 시사 프로그램 시청,5
금호강변 산책로 걷기,5
OTT 드라마 정주행,5
TV 야구 중계 시청,5
해반천 산책로 걷기,5
동네 목욕탕 수다,5
코인 노래방 가창,5
중식 배달 음식 즐기기,5
동네 목욕탕 사우나에서 휴식,5
전략 시뮬레이션 게임 플레이,5
동네 단골 분식집 탐방,5
중랑천변 산책,5
순천만 습지 산책,5
스포츠 중계 시청,5
코인 노래방에서 스트레스 풀기,5
동네 공원 배드민턴 모임,5
오래된 친구들과의 안부 전화,5
친구들과의 맛집 탐방 및 수다,5
거실 인테리어 소품 배치,5
모바일 수집형 RPG 게임,5
동네 빵집 신메뉴 시식,5
동네 이탈리안 레스토랑 탐방,5
전국 지역 맛집 탐방,5
독립기념관 숲길 산책,5
루미큐브 및 전략 보드게임,5
전국 노포 한식당 탐방,5
전국 일식 맛집 탐방,5
모바일 전략 퍼즐 게임,5
경로당 사교 모임,5
경로당 지인들과의 수다,5
지역 성당 소모임 활동,5
가족과 함께하는 숲길 여행,5
유튜브 정치 및 시사 영상 시청,5
제철 식재료를 활용한 집밥 요리,5
동네 야외 농구 경기,5
KBS 뉴스 시청,5
리그 오브 레전드 플레이,5
성당 소모임 활동,5
전국 맛집 탐방,5
이탈리안 레스토랑 탐방,5
근교 낮은 산 등산,5
유튜브 뷰티 및 메이크업 영상 시청,5
유튜브를 통한 최신 가전제품 리뷰 시청,5
동네 사우나에서 즐기는 온욕과 휴식,5
숲길 산책 및 자연 풍경 사진 찍기,5
자녀 및 손주들과의 전화 통화,5
유튜브 고전 영화 리뷰 시청,5
스포츠 경기 하이라이트 시청,5
동네 농구 모임 참여,5
지역 친목 모임 참석,5
유튜브 건축 및 인테리어 다큐멘터리 시청,5
동네 기원 바둑,5
거실 소파에서 즐기는 짧은 낮잠,5
가족과 함께하는 숲속 캠핑,5
라디오 프로그램 청취 및 사연 듣기,5
트로트 음악 감상 및 따라 부르기,5
올림픽공원 숲길 산책,5
동네 당구장 모임,5
인왕산 자락길 산책,5
동네 친구들과의 바둑 대국,5
주짓수 수련,5
SF 소설 읽기,5
낮잠을 통한 기력 회복,5
전국 노포 식당 탐방,5
무심천 산책,5
섬진강변 산책,5
친구들과의 노래방 방문,5
일본 만화 단행본 수집,5
단팥빵 맛집 탐방,5
전국 지역 축제 탐방,5
가족과 함께하는 가벼운 등산,5
가족과 함께하는 자연 풍경 사진 촬영,5
아산 온천 여행,5
나물 위주의 한정식 식사,5
TV 스포츠 경기 관람,5
목포 근대역사문화거리 산책,5
